) for {0},) pour {0},
A {0} exists between {1} and {2} (,Un {0} existe entre {1} et {2} (,
Absent,Absent,
Accrual Journal Entry for salaries from {0} to {1},Écriture de provision pour les salaires du {0} au {1},
Add to Details,Ajouter aux détails,
Added to details,Ajouté aux détails,
All Jobs,Tous les emplois,
Allocated Leaves,Congés alloués,
Annual Salary,Salaire annuel,
Application period cannot be across two allocation records,La période de la demande ne peut pas s'étendre sur deux enregistrements d'allocation,
Application period cannot be outside leave allocation period,La période de la demande ne peut pas être en dehors de la période d'allocation de congé,
Apply Now,Postuler,
Apprentice,Apprenti,
Approval Status,Statut d'approbation,
Approval Status must be 'Approved' or 'Rejected',Le statut d'approbation doit être 'Approuvé' ou 'Rejeté',
As per your assigned Salary Structure you cannot apply for benefits,La structure salariale qui vous a été assignée ne vous permet pas de demander des avantages sociaux,
Assign,Assigner,
Assign Salary Structure,Affecter la structure salariale,
Assign to Employees,Assigner aux employés,
Assigning Structures...,Assignation des structures en cours...,
Attendance,Présence,
Attendance From Date and Attendance To Date is mandatory,La date de début et la date de fin de présence sont obligatoires,
Attendance for employee {0} is already marked for this day,La présence de l'employé {0} est déjà marquée pour ce jour,
Attendance not submitted for {0} as it is a Holiday.,Présence non soumise pour {0} car c'est un jour férié.,
Bank Entries,Écritures bancaires,
Base,Base,
Beginner,Débutant,
Birthday Reminder,Rappel d'anniversaire,
Bonus Payment Date cannot be a past date,La date de paiement de la prime ne peut pas être une date passée,
Calls,Appels,
Cannot find active Leave Period,Impossible de trouver une période de congés active,
Casual Leave,Congé occasionnel,
Claimed Amount,Montant réclamé,
Compensatory Off,Repos compensateur,
Contact Number,Numéro de contact,
Course,Cours,
Create Disbursement Entry,Créer une écriture de décaissement,
Create Salary Slip,Créer un bulletin de paie,
Create Salary Slips,Créer les bulletins de paie,
Creating Payment Entries......,Création des écritures de paiement...,
Creating Salary Slips...,Création des bulletins de paie en cours...,
Current,Actuel,
Current Job Openings,Offres d'emploi actuelles,
Daily Work Summary,Récapitulatif du travail quotidien,
Daily Work Summary Group,Groupe de récapitulatif du travail quotidien,
Date is repeated,La date est répétée,
Debit A/C Number,Numéro de compte de débit,
Deduction,Déduction,
Document Status,Statut du document,
Earning,Gain,
Employee A/C Number,Numéro de compte de l'employé,
Employee Benefits,Avantages sociaux,
Employee Grade,Grade de l'employé,
Employee Referral,Cooptation,
Employee relieved on {0} must be set as 'Left',L'employé ayant quitté le {0} doit avoir le statut 'Parti',
Employee {0} already submited an apllication {1} for the payroll period {2},L'employé {0} a déjà soumis une demande {1} pour la période de paie {2},
Employee {0} has no maximum benefit amount,L'employé {0} n'a pas de montant maximal d'avantages sociaux,
Employee {0} is not active or does not exist,L'employé {0} n'est pas actif ou n'existe pas,
Employee {0} is on Leave on {1},L'employé {0} est en congé le {1},
Employee {0} on Half day on {1},L'employé {0} est en demi-journée le {1},
End time cannot be before start time,L'heure de fin ne peut pas être antérieure à l'heure de début,
Evaluation,Évaluation,
Event Location,Lieu de l'événement,
Event Name,Nom de l'événement,
Expense Claim for Vehicle Log {0},Note de frais pour le journal de bord du véhicule {0},
Expense Claim {0} already exists for the Vehicle Log,La note de frais {0} existe déjà pour le journal de bord du véhicule,
Fill the form and save it,Remplissez et enregistrez le formulaire,
Filter Employees By (Optional),Filtrer les employés par (Optionnel),
Fiscal Year {0} not found,Exercice {0} introuvable,
Food,Nourriture,
For Employee,Pour l'employé,
From Date {0} cannot be after employee's relieving Date {1},La date de début {0} ne peut pas être postérieure à la date de départ de l'employé {1},
From Date {0} cannot be before employee's joining Date {1},La date de début {0} ne peut pas être antérieure à la date d'embauche de l'employé {1},
